Gene1	Gene2	Correlation	Pvalue	FDR
ENSG00000104738	ENSG00000164032	0.781800720288115	2.05917505269326e-11	7.58844139788814e-09
ENSG00000104738	ENSG00000164104	0.842689075630252	1.68753899743024e-14	1.97541329699187e-11
ENSG00000104738	ENSG00000167513	0.825018007202881	1.74082970261225e-13	1.38570044327935e-10
ENSG00000104915	ENSG00000184840	0.703145258103241	1.24343846330532e-08	1.1617101136045e-06
ENSG00000105372	ENSG00000119711	-0.757887154861945	1.85969906141281e-10	4.45879654483313e-08
ENSG00000105372	ENSG00000140479	-0.754429771908763	2.50361509301911e-10	5.35719788721293e-08
ENSG00000105372	ENSG00000173457	0.725330132052821	2.55509391422493e-09	3.48262800637507e-07
ENSG00000105372	ENSG00000233927	0.85171668667467	4.44089209850063e-15	6.79798098155096e-12
ENSG00000105372	ENSG00000241343	0.85046818727491	5.32907051820075e-15	7.57489309372821e-12
ENSG00000105697	ENSG00000182566	0.706907729080806	9.60565049723527e-09	9.66549848687457e-07
ENSG00000105852	ENSG00000106327	0.818775510204082	3.74811293113453e-13	2.60093096485513e-10
ENSG00000106327	ENSG00000134365	0.702472989195678	1.30158261946178e-08	1.18271662681687e-06
ENSG00000106327	ENSG00000140479	0.714957983193277	5.45402301099784e-09	6.42219277626373e-07
ENSG00000109511	ENSG00000134365	0.796782713085234	4.48530101948563e-12	2.25430396572079e-09
ENSG00000109511	ENSG00000157131	0.71140456182473	7.01841917916113e-09	7.54954279271927e-07
ENSG00000109511	ENSG00000164344	0.75327731092437	2.76146661093435e-10	5.78454584816774e-08
ENSG00000109736	ENSG00000119711	-0.808403361344538	1.2569945084806e-12	7.81693459961375e-10
ENSG00000109736	ENSG00000137731	0.702537876261952	1.29586110730884e-08	1.18271662681687e-06
ENSG00000109736	ENSG00000141526	0.728499399759904	2.01283878453751e-09	2.87818731070644e-07
ENSG00000109736	ENSG00000141756	0.730132052821128	1.77777659260414e-09	2.67881039655109e-07
ENSG00000109736	ENSG00000153786	0.751644657863145	3.16997095239913e-10	6.37196181340834e-08
ENSG00000109736	ENSG00000160211	0.763841536614646	1.10145226273062e-10	2.84661039329082e-08
ENSG00000109736	ENSG00000166900	0.731284513805522	1.62769731026913e-09	2.55048633656344e-07
ENSG00000109736	ENSG00000173457	0.764513805522209	1.03721031763371e-10	2.71585333169879e-08
ENSG00000109736	ENSG00000185803	0.819927971188475	3.25961480029946e-13	2.40245683429479e-10
ENSG00000109736	ENSG00000188389	0.724465786314526	2.72529598888127e-09	3.6893462706624e-07
ENSG00000109736	ENSG00000197122	0.736374549819928	1.09657705138488e-09	1.80346143161646e-07
ENSG00000109736	ENSG00000204653	-0.739351740696279	8.66726912462923e-10	1.51297066298352e-07
