""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000139505"	874.992926592688	-0.14883027243062	0.183814262707399	-0.809677498571109	0.418125553711522	0.708208435219938
"ENSG00000139508"	1932.55741901611	-0.905196093539277	0.478521793901319	-1.89165071492218	0.0585375339937289	0.292257003334848
"ENSG00000139514"	500.295650607854	0.75405243999543	0.453416786863179	1.6630448228706	0.0963034635225902	0.369466908108846
"ENSG00000139515"	108.061365337954	0.713326718567118	0.908373834638297	0.785278804129311	0.432290120382892	0.718948711851801
"ENSG00000139517"	940.551350004623	-0.351033171409592	0.236760235027353	-1.48265257199562	0.138166741703306	0.435208285597149
"ENSG00000139531"	2051.64411096545	-0.0779870671660506	0.24066318336713	-0.324050675616144	0.745899668781916	0.897705881343204
"ENSG00000139537"	37.8567559182792	0.417342005122865	0.237159232067217	1.75975441261582	0.0784494555845801	0.335148231073688
"ENSG00000139540"	5153.35459320798	0.0979771938703643	0.540903040300039	0.181136334186653	0.856260565731232	0.947560488578323
"ENSG00000139546"	1088.71723995603	0.196888177382646	0.185719534881451	1.06013714447607	0.289082211455753	0.604933768460261
"ENSG00000139547"	7369.70150164123	-1.52057893059439	0.524406090413253	-2.89962103490467	0.00373614068472396	0.0737365394197645
"ENSG00000139549"	10.0971997973527	-0.174306304210414	0.454128013164438	-0.383826364279576	0.701107146135431	0.873746732736774
"ENSG00000139567"	645.551045351722	-0.346770640625661	0.227978245475712	-1.52106899455284	0.128242524223218	0.420956326491303
"ENSG00000139572"	11.1990709030337	-0.233707728870966	0.545737584948771	-0.428241952389819	0.66847497568611	0.859216256878906
"ENSG00000139579"	1420.51251417851	0.290301762917274	0.181871420130898	1.59619231382444	0.11044586313206	0.395337757836452
"ENSG00000139597"	1047.90668780279	-0.480870955860181	0.257365093843975	-1.8684389117341	0.0617009175549911	0.299903853812744
"ENSG00000139610"	0.509927396134766	1.33057556918626	0.968793427532862	1.3734357927827	0.169616908991106	0.481900966061834
"ENSG00000139613"	1783.44253149163	-0.0376805976494998	0.288885623233235	-0.130434312472095	0.896222821037768	0.963436335894451
"ENSG00000139618"	166.620567300367	0.722711723567235	0.296422145903561	2.43811649552784	0.014764015197659	0.148880323555264
"ENSG00000139620"	633.858354994941	0.0233688592825825	0.148408583881529	0.157462989480698	0.874879974097051	0.956142754802844
"ENSG00000139624"	893.828661960845	0.287364642183327	0.16230734665979	1.77049682652792	0.0766444125804824	0.332100691446471
"ENSG00000139625"	153.045454377203	0.203451364019056	0.232426660310062	0.875335745682735	0.381391249957495	0.680617701451404
"ENSG00000139626"	86.4523671712814	-0.521666169251535	0.392942438079536	-1.32758928203612	0.184313827209019	0.497633231411771
"ENSG00000139629"	185.408542742147	1.27304476325333	0.407339861548044	3.12526438835444	0.00177645315858229	0.0494926774870555
"ENSG00000139631"	1315.03468239646	-0.550202736694147	0.324391726571358	-1.69610594730478	0.0898658175576955	0.358351160369267
"ENSG00000139636"	786.451374149454	0.231461883029948	0.105441845253282	2.19516153642753	0.028152012296848	0.203380019683419
"ENSG00000139637"	1611.95810828719	0.210317233244583	0.155647067955729	1.35124442758153	0.176617147216679	0.489665767676159
"ENSG00000139641"	6323.59263693933	-0.0632559017807254	0.170752903891821	-0.370452861058227	0.711045093425828	0.878118543319473
"ENSG00000139644"	54796.0195310974	-0.287071037437068	0.156564131265049	-1.83356836024646	0.06671809244753	0.311504107738613
"ENSG00000139645"	1596.7048609685	0.329821793440588	0.211596907088509	1.55872691136561	0.119061029471109	0.407482131069529
"ENSG00000139651"	1025.52701148508	0.1980581330825	0.15828029996627	1.25131259622775	0.210820451614873	0.525921999528553
"ENSG00000139656"	2.77746695983484	-0.958150846812596	0.795456277323237	-1.20452987062575	0.228384843944574	0.544911722320225
"ENSG00000139668"	584.579391233222	-0.115456277492038	0.19552277931967	-0.590500390255158	0.554855224200367	0.799629631282469
"ENSG00000139675"	74.5429800625849	0.0922257927012518	0.215648430719028	0.427667349091051	0.668893324652511	0.859386428323666
"ENSG00000139679"	470.704271170734	0.016106054529548	0.257644498189897	0.0625127050750255	0.95015454454218	0.981433259781225
"ENSG00000139684"	3790.74236389361	-0.525898204382502	0.17929582002014	-2.93313142673057	0.00335561811873289	0.069328484879301
"ENSG00000139687"	808.379444807265	-0.182902943099407	0.235839717736606	-0.775539187609101	0.438021118728499	0.723697910306153
"ENSG00000139697"	1191.33599185166	-0.109896432844468	0.140690388973016	-0.781122531870643	0.434730430935321	0.720426760911317
"ENSG00000139714"	14.2621554558982	0.519525865115061	0.327783775138882	1.5849651645965	0.112974249254767	0.398729303906957
"ENSG00000139718"	1249.48171380145	0.154925439156314	0.150201061526672	1.03145369001805	0.302328114331111	0.61810860362203
"ENSG00000139719"	956.942382735986	0.181726640174357	0.184892846433072	0.982875452891788	0.325668740467208	0.637728863055432
"ENSG00000139722"	606.546645627259	0.0221188884787796	0.215137098965932	0.102812990344739	0.918111395099535	0.970241821701976
"ENSG00000139725"	61.1769058065653	1.03476062062167	0.379887818773046	2.72385838525627	0.0064524167088813	0.0972990996812993
"ENSG00000139726"	1933.05202435631	0.103105218047493	0.142409914610285	0.724003088757182	0.469063838803317	0.74405847090225
"ENSG00000139734"	160.941513158802	0.514466850728707	0.385619874899277	1.3341294995832	0.182161419475173	0.495766787786511
"ENSG00000139737"	105.264553651315	-0.950010478463938	0.504081721063826	-1.88463584130568	0.0594790198858493	0.294793404804032
"ENSG00000139746"	1160.38967351679	0.156550599123641	0.135069956559633	1.15903346022417	0.24644254641625	0.563209192730757
"ENSG00000139767"	2.09165719542367	2.39200160665485	0.70813084777077	3.37790906042998	0.000730392306942829	0.0284262876106167
"ENSG00000139780"	0.0764350000746533	0.386594969100461	2.94250021925407	0.131383157279242	0.895472211709591	NA
"ENSG00000139793"	2440.55761908236	-0.223702676504037	0.248907647835894	-0.898737658119392	0.368792413376871	0.670412795959649
"ENSG00000139800"	105.180218311887	0.557963687743424	0.780369770529082	0.714999105315331	0.474609596119236	0.747225608854566
"ENSG00000139826"	653.223020732974	-0.0476645139902019	0.181827152111413	-0.262141893753007	0.793212049220415	0.921419013525907
"ENSG00000139832"	1477.13434709416	0.343057566326585	0.297128538421129	1.15457629263588	0.24826397961063	0.56483351720786
"ENSG00000139835"	1571.13723046018	0.250209663979083	0.310087405500051	0.806900440137488	0.419723845228846	0.70900981572214
"ENSG00000139842"	3125.86049577135	0.150737352757743	0.17932501753263	0.840581837558247	0.400582237130764	0.694608747849581
"ENSG00000139865"	122.821857069329	0.202465353609328	0.31455958665564	0.643647061473837	0.519804325511148	0.778955963930585
